time,X,Y,Z
11.155086278915405,0.0,0.01,-9.73
11.180073499679565,-0.0,0.02,-9.73
11.204975843429565,0.02,0.02,-9.69
11.229959487915039,-0.0,0.01,-9.71
11.255842924118042,0.0,0.03,-9.72
11.280717134475708,0.01,0.02,-9.7
11.305653095245361,0.0,0.02,-9.72
11.330520629882812,0.02,0.02,-9.72
11.354463815689087,0.01,0.02,-9.71
11.379352807998657,0.0,0.02,-9.72
11.404247283935547,0.01,0.02,-9.71
11.429161787033081,0.0,0.02,-9.71
11.455005168914795,0.0,0.04,-9.7
11.47998571395874,-0.0,0.04,-9.72
11.505064010620117,-0.01,0.05,-9.74
11.530004024505615,-0.0,0.03,-9.73
11.55396819114685,0.02,0.04,-9.74
11.57884693145752,0.0,0.04,-9.71
11.603834867477417,-0.0,0.01,-9.7
11.628724336624146,0.02,0.02,-9.7
11.654462337493896,0.0,0.03,-9.71
11.67945146560669,0.02,0.03,-9.72
11.704372644424438,0.0,0.03,-9.69
11.729387998580933,-0.0,0.02,-9.73
11.75414228439331,0.0,0.02,-9.71
11.778230905532837,0.0,0.02,-9.7
11.80309009552002,0.01,0.03,-9.73
11.828092336654663,-0.0,0.02,-9.7
11.85300064086914,0.0,0.02,-9.74
11.877883911132812,0.01,0.03,-9.71
11.902782678604126,0.0,0.02,-9.72
11.927769660949707,-0.0,0.01,-9.73
11.95266604423523,0.0,0.02,-9.7
11.97757363319397,0.0,0.02,-9.71
12.002466678619385,0.0,0.02,-9.7
12.027357578277588,0.03,0.02,-9.74
12.052248477935791,0.02,0.03,-9.72
12.078107595443726,0.01,0.01,-9.74
12.102985620498657,0.01,0.03,-9.75
12.127873182296753,0.0,0.02,-9.71
12.152770757675171,0.01,0.02,-9.7
12.176751136779785,0.01,0.03,-9.71
12.201982259750366,-0.0,0.03,-9.74
12.226644515991211,0.01,0.03,-9.74
12.251528024673462,0.0,0.02,-9.68
12.27730655670166,0.0,0.04,-9.7
12.30228066444397,0.01,0.02,-9.73
